Original,English Translation,Meaning,Audio File,,
Lion nuh look back wen mongrel dawg baak,The Lion does not pay attention to the mongrel dog barking,"Confident, successful people do not let the petty insults or noise of insignificant critics distract them.",lionnuhlook.ogg,lionnuhlook,o
Man weh share dem prablem wid yu wi guh a deep wid yu,Men who share their problems with you will go in depth with you,"Vulnerability builds strong bonds; someone willing to share their struggles is offering true, profound friendship.",manwehshare.ogg,manwehshare,o
Meck wi tap bigup wisself an gwaan wid iigle chat,Let's stop boasting and persisting with idle chatter,It is better to be humble and productive than to waste time bragging and engaging in empty talk.,meckwitap.mp3,meckwitap,m
Mistake weh umble yu betta dan big wuk weh meck yu haaty,A mistake that humbles you is better than a big job that makes you haughty,It is better to fail and learn humility than to succeed and become painfully arrogant. Character matters more than status.,mistakewehumble.mp3,mistakewehumble,m
Nubady nuh affi push yu wen yu fine yu callin,Nobody has to push you when you find your calling.,"True passion provides its own motivation. When you discover your life's purpose, you will be naturally driven to pursue it without needing external pressure.",nubadynuhaffi.mp3,nubadynuhaffi,m
Nuhbady cyaan replace yu. Nuhbady cyaan meck two a yu. A yu one meck,Nobody can replace you. Nobody can make two of you. Only one of you was made.,You are completely unique and irreplaceable. It is a reminder to embrace your individuality and recognize your inherent self-worth.,nuhbadycyaanreplace.mp3,nuhbadycyaanreplace,m
Nuh cya how sum peeple si di fire light. It affi bun dem fi dem move,Don't care how some people see the fire light. It has to burn them for them to move.,"Some people cannot learn from warnings or by observing danger; they have to experience the painful consequences themselves before they change their behavior. Experience is a harsh, but necessary, teacher for some.",nuhcyahow.mp3,nuhcyahow,m
Nuh kip yu door open fi peeple weh lack fi dem pon yu,Do not keep your door open for people who lock theirs on you.,Protect your peace and set boundaries. Do not remain endlessly available or generous to people who do not reciprocate your kindness or who shut you out when you are in need.,nuhkipyu.mp3,nuhkipyu,m
Nuh wurry wen badmine judge yu cause mongrel dawg baak offa people dem nuh know,Do not worry when bad-minded people judge you because a mongrel dog barks at people they do not know.,"Do not let the criticism of jealous or envious people bother you. People often attack what they do not understand or cannot relate to, much like a stray dog barking at a stranger.",nuhwurrywen.mp3,nuhwurrywen,m
One ting fi larn fram life; yu Hart aguh bruck. It aguh pain yu. But yu aguh gyet love,One thing to learn from life; your Heart will be broken. It will hurt. But you will find love,"Pain and heartbreak are inevitable parts of the human experience, but they are worth enduring to experience true love and joy.",onetingfi.ogg,onetingfi,o
Peeple weh nuh tankful seh dem nevva ask yu fi du nutten fi dem,Ungrateful people say they never asked you to do anything for them,Ungrateful people will try to invalidate your kindness and avoid showing appreciation by claiming they didn't need your help anyway.,peeplewehnuh.ogg,peeplewehnuh,o
Pickney seh wha him hear a yaad,A Child says what he hears at home,Children are a product of their environment and mimic what they see and hear from their parents.,pickneysehwha.ogg,pickneysehwha,o
Same hurricane weh mash yu up clear road fi yu,The same hurricane that mashes you up clears the road for you.,"Disruptive events or major setbacks often remove long-standing obstacles from your life, creating a fresh, clear path forward. Destruction often paves the way for new opportunities.",samehurricaneweh.ogg,samehurricaneweh,o
Stay inna yu lane. Busha cane truck wi run yu ova,Stay in your lane. The overseer's (Busha's) cane truck will run you over.,Mind your own business and stick to what concerns you. Interfering in matters above your level or outside your domain will only lead to your downfall.,stayinnayu.ogg,stayinnayu,o
Sumtime it good fi listen weh people nuh seh,Sometimes it is good to listen to what people do not say.,"Pay close attention to the unsaid. Silence, omissions, and body language often reveal much more about a person's true intentions than their spoken words.",sumtimeitgood.ogg,sumtimeitgood,o
Wen Gad fling sumpmn pon yu ketch it,When God throws something at you you catch it,Always be ready and grateful to accept the blessings and opportunities that life presents to you.,wengadfling.ogg,wengadfling,o
Wen yu fine guud peeple yu fine sinting weh haad fi fine,When you find good people you find something that is hard to find,"Genuine, kind-hearted people are rare, so you should value and cherish them when they come into your life.",wenyufine.ogg,wenyufine,o
Wet wedda fren a fren. A dry wedda fren a nuh fren,A wet weather friend is a friend. A dry weather friend is not a friend.,"True friends stand by you during hard times (the storms or ""wet weather""), while those who are only around when things are easy and prosperous (""dry weather"") are not real friends.",wetweddafren.ogg,wetweddafren,o
When yu spen money pon yusself fi meck a money dung di road. A di bess ting yu evva du. Nuhbadda tun roun tell nuhbady seh yu sarry,When you spend money on yourself to make money down the road. It is the best thing you ever do. Do not bother turning around to tell anybody that you are sorry.,Investing in yourself and your skills for future returns is a highly strategic move. Never apologize to others for prioritizing your own long-term growth and success.,whenyuspen.ogg,whenyuspen,o
Yu fi cum eeen like Rosemary bush. People wi glad fi deh roun yu,You should be just like the Rosemary bush. People will be happy to be around you,Cultivate a pleasant and uplifting personality so that others naturally enjoy your company and presence.,yuficum.ogg,yuficum,o
Yu must always a check pon yu fren dem cause dem might a drink widout yu,You must always check on your friends because they might be drinking without you.,"A lighthearted reminder to actively maintain your social connections and check in on your circle, ensuring you stay involved and do not drift apart.",yumustalways.ogg,yumustalways,o
